Year,Plot,Row,Block,Management,Sward_type,DMY
2022,31,D,C,B4,C,12405.853395996093
2022,32,D,C,B3,C,7798.973379720052
2022,33,E,C,B3,BPW,9142.306666666665
2022,34,E,C,B1,BFW,7630.306666666666
2022,35,F,C,B2,BFW,9674.68
2022,36,F,C,B2,C,10096.76
2022,37,A,D,B1,BFW,8044.053333333333
2022,38,A,D,B3,C,6905.586588541668
2022,39,B,D,B3,BPW,10004.113306884767
2022,40,B,D,B4,C,12319.679881184897
2022,41,C,D,B2,BFW,9910.986666666666
2022,42,C,D,B1,BPW,7066.64
2022,43,D,D,B2,C,8631.593333333332
2022,44,D,D,B4,BPW,13444.226666666667
2022,45,E,D,B1,C,6493.593333333334
2022,46,E,D,B3,BFW,7722.873333333333
2022,47,F,D,B2,BPW,7937.053333333332
2022,48,F,D,B4,BFW,9654.513365071614
2023,1,A,A,B3,BPW,11171.266682942709
2023,2,A,A,B4,C,11215.133412679035
2023,3,B,A,B1,BPW,10413.92666829427
2023,4,B,A,B1,BFW,9817.146588134767
2023,5,C,A,B4,BPW,13550.213061523438
2023,6,C,A,B1,C,7444.919983927409
2023,7,D,A,B2,C,8384.21331278483
2023,8,D,A,B2,BPW,12789.239803059898
2023,9,E,A,B3,C,7011.813432820639
2023,10,E,A,B4,BFW,11749.506637573242
2023,11,F,A,B3,BFW,9800.673193359376
2023,12,F,A,B2,BFW,7065.153387451172
2023,13,A,B,B3,BPW,11724.6799794515
2023,14,A,B,B2,BPW,10324.573304748534
2023,15,B,B,B2,BFW,9413.386712646485
2023,16,B,B,B1,BPW,10160.326663208007
2023,17,C,B,B1,BFW,9833.359989420573
2023,18,C,B,B4,BFW,11968.959853108723
2023,19,D,B,B4,BPW,14141.799775187175
2023,20,D,B,B3,C,8118.1466878255205
2023,21,E,B,B1,C,6485.006614176431
2023,22,E,B,B4,C,13291.099884033205
2023,23,F,B,B3,BFW,8317.193271891276
2023,24,F,B,B2,C,6449.773355102539
2023,25,A,C,B4,BFW,12374.68657836914
2023,26,A,C,B2,BPW,11065.893363444009
2023,27,B,C,B1,C,7374.973365275065
2023,28,B,C,B1,BPW,9345.293299357096
2023,29,C,C,B4,BPW,13049.653417968751
2023,30,C,C,B3,BFW,8306.14671020508
2023,31,D,C,B4,C,10046.926584879557
2023,32,D,C,B3,C,7189.420076497395
2023,33,E,C,B3,BPW,11620.819964599608
2023,34,E,C,B1,BFW,8694.77333170573
2023,35,F,C,B2,BFW,8369.08000386556
2023,36,F,C,B2,C,9483.359864298502
2023,37,A,D,B1,BFW,9590.726700846355
2023,38,A,D,B3,C,7877.746688842772
2023,39,B,D,B3,BPW,12448.479817708332
2023,40,B,D,B4,C,9529.526720174152
2023,41,C,D,B2,BFW,10630.88640238444
2023,42,C,D,B1,BPW,9961.333261108399
2023,43,D,D,B2,C,9109.966680908205
2023,44,D,D,B4,BPW,14066.186277262368
2023,45,E,D,B1,C,8213.653367106119
2023,46,E,D,B3,BFW,8312.653198242188
2023,47,F,D,B2,BPW,10017.019941202801
2023,48,F,D,B4,BFW,11356.446783447265
