Block,Row,Sward_type,Management,Year,DMY
D,D,BPW,B4,2021,17168.3066666667
D,E,C,B1,2021,9424.26666666667
D,E,BFW,B3,2021,11917.0466666667
D,F,BPW,B2,2021,11875.0533333333
D,F,BFW,B4,2021,14332.74
A,A,BPW,B3,2022,10117.1534187826
A,A,C,B4,2022,13568.5466666667
A,B,BPW,B1,2022,8297.35333333333
A,B,BFW,B1,2022,7370.4
A,C,BPW,B4,2022,13624.8932739258
A,C,C,B1,2022,6810.94
A,D,C,B2,2022,8402.25333333333
A,D,BPW,B2,2022,12463.4
A,E,C,B3,2022,7979.94662679037
A,E,BFW,B4,2022,11143.7066910807
A,F,BFW,B3,2022,7193.69999104818
A,F,BFW,B2,2022,8230.0
B,A,BPW,B3,2022,9671.85325276693
B,A,BPW,B2,2022,13550.1133333333
B,B,BFW,B2,2022,12405.32
B,B,BPW,B1,2022,9471.38666666667
B,C,BFW,B1,2022,10997.3666666667
B,C,BFW,B4,2022,13786.1935709635
B,D,BPW,B4,2022,14073.4998779297
B,D,C,B3,2022,8481.23997843425
B,E,C,B1,2022,6572.44666666667
B,E,C,B4,2022,13579.7201306152
B,F,BFW,B3,2022,7634.0133589681
B,F,C,B2,2022,8472.56
C,A,BFW,B4,2022,13691.7534151204
C,A,BPW,B2,2022,14571.76
C,B,C,B1,2022,6640.24666666667
C,B,BPW,B1,2022,7866.51333333333
C,C,BPW,B4,2022,13380.5599707031
C,C,BFW,B3,2022,9140.04666666667
C,D,C,B4,2022,12405.8533959961
C,D,C,B3,2022,7798.97337972005
C,E,BPW,B3,2022,9142.30666666667
C,E,BFW,B1,2022,7630.30666666667
C,F,BFW,B2,2022,9674.68
C,F,C,B2,2022,10096.76
D,A,BFW,B1,2022,8044.05333333333
D,A,C,B3,2022,6905.58658854167
D,B,BPW,B3,2022,10004.1133068848
D,B,C,B4,2022,12319.6798811849
D,C,BFW,B2,2022,9910.98666666667
D,C,BPW,B1,2022,7066.64
D,D,C,B2,2022,8631.59333333333
D,D,BPW,B4,2022,13444.2266666667
D,E,C,B1,2022,6493.59333333333
D,E,BFW,B3,2022,7722.87333333333
D,F,BPW,B2,2022,7937.05333333333
D,F,BFW,B4,2022,9654.51336507161
A,A,BPW,B3,2023,11171.2666829427
A,A,C,B4,2023,11215.133412679
A,B,BPW,B1,2023,10413.9266682943
A,B,BFW,B1,2023,9817.14658813477
A,C,BPW,B4,2023,13550.2130615234
A,C,C,B1,2023,7444.91998392741
A,D,C,B2,2023,8384.21331278483
A,D,BPW,B2,2023,12789.2398030599
A,E,C,B3,2023,7011.81343282064
A,E,BFW,B4,2023,11749.5066375732
A,F,BFW,B3,2023,9800.67319335938
A,F,BFW,B2,2023,7065.15338745117
B,A,BPW,B3,2023,11724.6799794515
B,A,BPW,B2,2023,10324.5733047485
B,B,BFW,B2,2023,9413.38671264648
B,B,BPW,B1,2023,10160.326663208
B,C,BFW,B1,2023,9833.35998942057
B,C,BFW,B4,2023,11968.9598531087
B,D,BPW,B4,2023,14141.7997751872
B,D,C,B3,2023,8118.14668782552
B,E,C,B1,2023,6485.00661417643
B,E,C,B4,2023,13291.0998840332
B,F,BFW,B3,2023,8317.19327189128
B,F,C,B2,2023,6449.77335510254
C,A,BFW,B4,2023,12374.6865783691
C,A,BPW,B2,2023,11065.893363444
C,B,C,B1,2023,7374.97336527506
C,B,BPW,B1,2023,9345.2932993571
C,C,BPW,B4,2023,13049.6534179688
C,C,BFW,B3,2023,8306.14671020508
C,D,C,B4,2023,10046.9265848796
C,D,C,B3,2023,7189.42007649739
C,E,BPW,B3,2023,11620.8199645996
C,E,BFW,B1,2023,8694.77333170573
C,F,BFW,B2,2023,8369.08000386556
C,F,C,B2,2023,9483.3598642985
D,A,BFW,B1,2023,9590.72670084635
D,A,C,B3,2023,7877.74668884277
D,B,BPW,B3,2023,12448.4798177083
D,B,C,B4,2023,9529.52672017415
D,C,BFW,B2,2023,10630.8864023844
D,C,BPW,B1,2023,9961.3332611084
D,D,C,B2,2023,9109.9666809082
D,D,BPW,B4,2023,14066.1862772624
D,E,C,B1,2023,8213.65336710612
D,E,BFW,B3,2023,8312.65319824219
D,F,BPW,B2,2023,10017.0199412028
D,F,BFW,B4,2023,11356.4467834473
